# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
bu shan le 	不闪了	c=1 d=1.29424e-05 t=8158
bu shi 	不是	c=15 d=1.51525 t=8158
bu shou huan ying 	不受欢迎	c=1 d=5.45035e-08 t=8158
bu shu 	部署	c=1 d=1 t=8158
bu shu fu 	不舒服	c=1 d=0.0216013 t=8158
bu tai 	不太	c=1 d=1.4959e-15 t=8158
bu tai hao 	不太好	c=1 d=0.00178203 t=8158
bu tai li xiang 	不太理想	c=1 d=1.34821e-15 t=8158
bu tian 	补天	c=2 d=5.1883e-08 t=8158
bu tong 	不同	c=2 d=0.990515 t=8158
bu wan 	不完	c=0 d=1.44897e-11 t=8158
bu wan 	不晚	c=1 d=0.000238772 t=8158
bu wei 	部位	c=1 d=1.40638e-12 t=8158
bu wen 	不稳	c=0 d=2.5371e-13 t=8158
bu xi huan 	不喜欢	c=1 d=2.26148e-12 t=8158
bu xia qu 	不下去	c=0 d=8.78544e-08 t=8158
bu xiang 	不像	c=1 d=0.0191587 t=8158
bu xiang 	不想	c=2 d=0.965605 t=8158
bu xiao hua 	不消化	c=1 d=0.021068 t=8158
bu xing 	不幸	c=1 d=0.00121259 t=8158
bu xing 	不行	c=8 d=0.000239755 t=8158
bu xing le 	不行了	c=3 d=1.00716e-05 t=8158
bu xu yao 	不需要	c=2 d=6.14392e-08 t=8158
bu yao 	不要	c=2 d=1.06099e-10 t=8158
bu yi ding 	不一定	c=2 d=0.280832 t=8158
bu yi yang 	不一样	c=4 d=0.00269866 t=8158
bu ying gai 	不应该	c=5 d=0.000345338 t=8158
bu ying xiang 	不影响	c=3 d=0.000190664 t=8158
bu yong 	不用	c=4 d=0.99006 t=8158
bu yue er tong 	不约而同	c=2 d=0.000152347 t=8158
bu zheng chang 	不正常	c=2 d=2.4305e-07 t=8158
bu zhi dao 	不知道	c=2 d=0.00324708 t=8158
cai 	才	c=4 d=0.00232746 t=8158
cai ce 	猜测	c=1 d=1.60577e-13 t=8158
cai dan 	彩蛋	c=2 d=1.03427e-05 t=8158
cai dan 	菜单	c=9 d=0.415659 t=8158
cai fu tong 	财付通	c=1 d=1.37143e-10 t=8158
cai ji 	采集	c=2 d=0.996396 t=8158
cai neng 	才能	c=1 d=2.56879e-11 t=8158
cai se 	彩色	c=1 d=1.74313e-08 t=8158
can kao 	参考	c=1 d=0.99005 t=8158
can shu 	参数	c=1 d=5.20964e-06 t=8158
can tou yan wei 	蚕头燕尾	c=1 d=2.83114e-08 t=8158
cang 	仓	c=4 d=0.0012098 t=8158
cang ku 	仓库	c=15 d=1.00154 t=8158
cang tian 	苍天	c=0 d=1.14809e-08 t=8158
cang tian yi si 	苍天已死	c=1 d=1.15384e-07 t=8158
cao 	槽	c=2 d=0.0196112 t=8158
cao 	艹	c=2 d=9.05345e-07 t=8158
cao 	草	c=1 d=4.2141e-11 t=8158
cao bao 	草包	c=1 d=8.07091e-09 t=8158
cao gui lun zhan 	曹刿论战	c=2 d=7.21621e-08 t=8158
cao zhi 	曹植	c=1 d=9.42245e-07 t=8158
cao zuo 	操作	c=5 d=0.991159 t=8158
cao zuo xi tong 	操作系统	c=1 d=1.60605e-15 t=8158
ce 	测	c=1 d=1.21341e-11 t=8158
ce 	策	c=0 d=7.21153e-09 t=8158
ce shi 	测试	c=3 d=3.33846e-06 t=8158
ce su 	测速	c=14 d=4.05512 t=8158
ceng 	曾	c=1 d=0.0025415 t=8158
ceng ci 	层次	c=1 d=1.90268e-09 t=8158
ceng ji 	层级	c=1 d=4.99584e-13 t=8158
ceng jing 	曾经	c=1 d=5.77441e-11 t=8158
cha 	差	c=1 d=6.9144e-13 t=8158
cha 	查	c=1 d=0.873716 t=8158
cha bu duo 	差不多	c=1 d=0.0689068 t=8158
cha dian 	差点	c=2 d=2.03967e-10 t=8158
cha jian 	插件	c=1 d=0.109154 t=8158
cha jing 	茶经	c=3 d=5.7169e-07 t=8158
cha ka 	插卡	c=3 d=0.0273319 t=8158
cha kan 	查看	c=5 d=5.46193e-07 t=8158
cha ping 	差评	c=1 d=6.41152e-07 t=8158
cha ri 	茶日	c=1 d=1.95052e-07 t=8158
cha shang 	插上	c=1 d=0.246597 t=8158
cha shang qu 	插上去	c=1 d=3.93736e-06 t=8158
chai kai 	拆开	c=1 d=0.980199 t=8158
chan pin 	产品	c=1 d=9.26136e-10 t=8158
chang 	常	c=1 d=6.36632e-12 t=8158
chang an 	长安	c=1 d=8.33681e-08 t=8158
chang jing 	场景	c=1 d=0.891366 t=8158
chang shang 	厂商	c=1 d=1.6055e-11 t=8158
chang shi 	尝试	c=1 d=1.05217e-10 t=8158
chang tian 	长天	c=1 d=0.995012 t=8158
chang yong 	常用	c=1 d=0.000639387 t=8158
chao 	炒	c=1 d=0.995012 t=8158
chao cuo 	晁错	c=2 d=1.46427e-07 t=8158
chao dai 	朝代	c=1 d=1.59695e-07 t=8158
chao ling 	超龄	c=1 d=7.79066e-05 t=8158
chao yi xia 	抄一下	c=2 d=1.19251e-12 t=8158
che 	车	c=3 d=2.47189e-06 t=8158
che dan 	扯淡	c=2 d=1.99005 t=8158
che di 	彻底	c=1 d=2.3481e-13 t=8158
che ma 	车马	c=0 d=1.25296e-07 t=8158
chen dong 	辰东	c=1 d=0.995012 t=8158
chen yu 	沉鱼	c=1 d=1.28801e-07 t=8158
chen yu luo yan 	沉鱼落雁	c=1 d=1.02336e-07 t=8158
cheng 	成	c=7 d=1.78712 t=8158
cheng 	称	c=1 d=1.47417e-07 t=8158
cheng 	程	c=1 d=1 t=8158
cheng du 	程度	c=0 d=1.12264e-09 t=8158
cheng gong 	成功	c=3 d=0.000827535 t=8158
cheng le 	成了	c=1 d=2.31794e-08 t=8158
cheng li 	成立	c=1 d=8.83098e-09 t=8158
cheng qian bi hou 	惩前毖后	c=1 d=9.90724e-09 t=8158
cheng wei 	成为	c=2 d=0.97531 t=8158
cheng wen 	成文	c=1 d=1.73576e-08 t=8158
cheng wen ri qi 	成文日期	c=3 d=4.95114e-08 t=8158
cheng xu 	程序	c=6 d=6.88958e-05 t=8158
cheng xu xing 	程序性	c=2 d=4.74184e-09 t=8158
cheng xu yuan 	程序员	c=1 d=1.59804e-15 t=8158
cheng yu 	成语	c=1 d=9.23588e-07 t=8158
cheng zhang 	成长	c=1 d=0.00690852 t=8158
chi 	吃	c=2 d=7.46982e-10 t=8158
chi 	池	c=2 d=0.970446 t=8158
chi bi 	赤壁	c=1 d=1.32723e-07 t=8158
chi bu dao 	吃不到	c=1 d=2.91082e-11 t=8158
chi du 	尺度	c=1 d=9.7362e-10 t=8158
chi huo 	吃货	c=1 d=9.90555e-07 t=8158
chi jiu hua 	持久化	c=4 d=1.98511 t=8158
chi mei 	赤眉	c=1 d=1.03883e-07 t=8158
chi shen me 	吃什么	c=1 d=0.0198411 t=8158
chi wan fan 	吃完饭	c=1 d=0.0199405 t=8158
chi you 	蚩尤	c=1 d=2.11844e-08 t=8158
chong 	冲	c=1 d=0.00615802 t=8158
chong 	重	c=3 d=2.64281 t=8158
chong dian qi 	充电器	c=1 d=4.23666e-15 t=8158
chong ding xiang 	重定向	c=1 d=1 t=8158
chong fang 	重放	c=1 d=5.26468e-12 t=8158
chong fu 	重复	c=0 d=0.0970446 t=8158
chong qi 	重启	c=13 d=2.65786 t=8158
chong tu 	冲突	c=1 d=0.327915 t=8158
chong xin 	重新	c=8 d=1.1685 t=8158
chong zhuang 	重装	c=2 d=1.32073e-05 t=8158
chou chou 	瞅瞅	c=1 d=2.22668e-06 t=8158
chou xiang 	抽象	c=1 d=1.87921e-10 t=8158
chu 	出	c=2 d=0.140858 t=8158
chu 	除	c=1 d=0.00118265 t=8158
chu bu lai 	出不来	c=1 d=2.42422e-06 t=8158
chu cuo 	出错	c=1 d=0.927743 t=8158
chu han zhi zheng 	楚汉之争	c=1 d=6.20702e-08 t=8158
chu lai 	出来	c=5 d=0.0101073 t=8158
chu le 	出了	c=1 d=0.759572 t=8158
chu li 	处理	c=3 d=0.000534521 t=8158
chu qi 	初期	c=1 d=2.48601e-08 t=8158
chu shi 	出使	c=0 d=7.96997e-09 t=8158
chu shi hua 	初始化	c=5 d=4.31112e-10 t=8158
chu shi xi yu 	出使西域	c=1 d=8.00992e-08 t=8158
chu tou niao 	出头鸟	c=1 d=1.15404e-09 t=8158
chu xian 	出现	c=3 d=0.169483 t=8158
chu yi dian 	出一点	c=1 d=5.6328e-13 t=8158
chu zhong 	初中	c=1 d=0.00250366 t=8158
chuan 	传	c=1 d=5.18366e-06 t=8158
chuan cheng 	传承	c=4 d=0.309259 t=8158
chuan da 	传达	c=0 d=1.67478e-09 t=8158
chuan da fan wei 	传达范围	c=1 d=1.68317e-08 t=8158
chuan jiao 	传教	c=2 d=0.0301664 t=8158
chuan ran 	传染	c=1 d=7.08703e-09 t=8158
chuan song 	传送	c=1 d=1.02601e-08 t=8158
chuan yue 	穿越	c=5 d=0.0379978 t=8158
chuang guan 	窗管	c=2 d=0.941765 t=8158
chuang jian 	创建	c=2 d=1.61259e-13 t=8158
chuang kou 	窗口	c=7 d=2.803 t=8158
chuang ti 	窗体	c=8 d=0.95637 t=8158
chun shen jun 	春申君	c=1 d=4.46237e-08 t=8158
chun shi 	蠢事	c=1 d=1.44547e-11 t=8158
ci 	次	c=3 d=0.972481 t=8158
ci 	词	c=1 d=0.97531 t=8158
ci shi 	此时	c=1 d=1.02867e-09 t=8158
cong 	从	c=7 d=2.14299 t=8158
cong guo wai 	从国外	c=1 d=8.42203e-10 t=8158
cong lai 	从来	c=1 d=0.00744658 t=8158
cong re du men piao 	从热度门票	c=1 d=1 t=8158
cong zhong xin li 	从众心理	c=1 d=4.75058e-09 t=8158
cu jin 	促进	c=1 d=0.0203434 t=8158
cu shui 	醋水	c=2 d=1.9459 t=8158
cui 	催	c=1 d=4.72608e-07 t=8158
cun 	存	c=1 d=0.0939493 t=8158
cun kuan 	存款	c=1 d=0.0515605 t=8158
cun zai 	存在	c=9 d=0.0781594 t=8158
cun zhang 	村长	c=1 d=2.02e-07 t=8158
cun zhe 	存着	c=1 d=1.31447e-11 t=8158
cuo 	错	c=1 d=0.763379 t=8158
cuo le 	错了	c=1 d=0.985112 t=8158
cuo wu 	错误	c=2 d=0.156453 t=8158
da 	大	c=6 d=0.843673 t=8158
da bao 	打包	c=4 d=1.13732e-11 t=8158
da bao jian 	大宝剑	c=2 d=4.26434e-09 t=8158
da bao zhe 	打包者	c=1 d=4.55407e-12 t=8158
da bu fen 	大部分	c=1 d=2.91836e-12 t=8158
da bu kai 	打不开	c=3 d=8.00944e-11 t=8158
da dao 	达到	c=1 d=2.40051e-08 t=8158
da dian hua 	打电话	c=1 d=0.995012 t=8158
da duan xiao duan 	大端小端	c=1 d=1.16322e-14 t=8158
da fang jue ci 	大放厥词	c=1 d=2.43091e-09 t=8158
da feng qi xi yun fei yang 	大风起兮云飞扬	c=1 d=5.87485e-08 t=8158
da gai 	大改	c=0 d=4.75138e-12 t=8158
da gai xiao 	大改小	c=1 d=4.7752e-11 t=8158
da gong 	打工	c=0 d=0.0778801 t=8158
da gong ren 	打工人	c=1 d=0.782705 t=8158
da hu you 	大忽悠	c=1 d=2.59417e-09 t=8158
da ji 	大吉	c=0 d=1.30095e-08 t=8158
da jia 	大家	c=14 d=2.75077 t=8158
da jia huo 	大家伙	c=1 d=2.37008e-05 t=8158
da jian 	搭建	c=1 d=2.48728e-14 t=8158
da kai 	打开	c=4 d=3.81182e-07 t=8158
da lao 	大佬	c=1 d=8.99071e-14 t=8158
da lao men 	大佬们	c=4 d=8.84501e-12 t=8158
da luan 	打乱	c=1 d=2.68749e-13 t=8158
da mian ji 	大面积	c=1 d=0.995012 t=8158
da qin 	大秦	c=2 d=1.68838e-07 t=8158
da qing chao 	大清朝	c=1 d=1.9603e-07 t=8158
da quan 	大全	c=1 d=1.64671e-15 t=8158
da si 	打死	c=1 d=6.87523e-05 t=8158
da xi 	大戏	c=0 d=1.14255e-10 t=8158
da xi niu 	大戏牛	c=1 d=1.14828e-09 t=8158
da xiao 	大小	c=5 d=2.72598 t=8158
da xiao xie 	大小写	c=2 d=7.13019e-11 t=8158
da xiao zhuan 	大小篆	c=2 d=1.18595e-06 t=8158
da xue 	大学	c=7 d=1.09208 t=8158
da xue sheng 	大学生	c=2 d=0.000167581 t=8158
da zhang fu 	大丈夫	c=1 d=0.000243596 t=8158
da zhi 	大致	c=1 d=1.42691e-06 t=8158
da zhong 	打中	c=1 d=6.73909e-05 t=8158
dai biao da hui 	代表大会	c=1 d=0.000113922 t=8158
dai dong 	带动	c=1 d=1.42739e-10 t=8158
dai kuan 	带宽	c=1 d=3.91972e-12 t=8158
dai li 	代理	c=16 d=4.70601 t=8158
dai ma 	代码	c=7 d=2.80191 t=8158
dai ping 	戴凭	c=1 d=1.18898e-07 t=8158
dai shang 	带上	c=1 d=6.13357e-15 t=8158
dai xie 	代谢	c=1 d=0.0204453 t=8158
dai zhe 	带着	c=1 d=0.0668703 t=8158
dai zou 	带走	c=1 d=1.89777e-08 t=8158
dan 	单	c=1 d=0.00524752 t=8158
dan ci 	单词	c=1 d=3.55529e-11 t=8158
dan dan 	单单	c=1 d=9.02962e-06 t=8158
dan fan 	但凡	c=1 d=0.00212284 t=8158
dan gao 	蛋糕	c=2 d=4.18468e-08 t=8158
dan nang xi rou 	胆囊息肉	c=1 d=0.0197421 t=8158
dan sheng 	诞生	c=0 d=6.9264e-05 t=8158
dan shi 	但是	c=18 d=1.51079 t=8158
dan wei 	单位	c=1 d=5.4626e-05 t=8158
dan xian cheng 	单线程	c=1 d=3.23198e-07 t=8158
dang 	当	c=7 d=0.965731 t=8158
dang dai 	当代	c=1 d=0.856415 t=8158
dang dui 	党对	c=0 d=3.15326e-12 t=8158
dang li 	当立	c=1 d=1.16544e-07 t=8158
dang qian 	当前	c=4 d=0.07502 t=8158
dang shi 	党史	c=2 d=9.14522e-07 t=8158
dang shi 	当时	c=4 d=0.012093 t=8158
dang wo 	当我	c=2 d=2.46481e-05 t=8158
dang zheng jun 	党政军	c=0 d=1.23452e-09 t=8158
dang zheng jun qun 	党政军群	c=1 d=1.24071e-08 t=8158
dang zuo 	当作	c=1 d=0.000528747 t=8158
dao 	到	c=17 d=2.95099 t=8158
dao chu 	导出	c=1 d=2.72152e-14 t=8158
dao ge 	倒戈	c=0 d=3.1289e-09 t=8158
dao guan 	道观	c=1 d=0.0186856 t=8158
dao jin zi ta 	倒金字塔	c=1 d=2.35338e-10 t=8158
dao le 	刀了	c=1 d=0.362402 t=8158
dao shi 	倒是	c=1 d=3.2092e-12 t=8158
dao xian zai 	到现在	c=1 d=5.96364e-08 t=8158
dao you 	道友	c=1 d=0.0182243 t=8158
dao zhi 	导致	c=6 d=0.0713676 t=8158
dao zu 	刀俎	c=1 d=6.33241e-08 t=8158
de 	的	c=428 d=25.2797 t=8158
de lu ke 	德鲁克	c=2 d=5.14997e-09 t=8158
dei 	得	c=1 d=0.0152985 t=8158
deng 	灯	c=1 d=8.27804e-13 t=8158
deng 	等	c=2 d=0.891366 t=8158
deng cha 	等差	c=2 d=2.40934e-14 t=8158
deng deng 	等等	c=2 d=0.278037 t=8158
deng ji 	等级	c=1 d=3.65535e-14 t=8158
deng lu 	登录	c=5 d=1.95101 t=8158
deng wo 	等我	c=1 d=2.21557e-06 t=8158
di 	低	c=1 d=0.946485 t=8158
di 	第	c=1 d=3.99959e-14 t=8158
di er 	第二	c=1 d=8.61734e-15 t=8158
di er ci 	第二次	c=2 d=1.32857e-05 t=8158
di er ge 	第二个	c=1 d=0.00554422 t=8158
di er tian 	第二天	c=1 d=1 t=8158
di fang 	地方	c=4 d=0.148636 t=8158
di gui 	递归	c=1 d=1.86114e-14 t=8158
di li yu wo he you zai 	帝力于我何有哉	c=1 d=2.96963e-11 t=8158
di ming 	地名	c=1 d=9.3062e-08 t=8158
di san ge 	第三个	c=1 d=0.00557201 t=8158
di shua 	滴刷	c=1 d=3.15433e-15 t=8158
di tu 	地图	c=1 d=1 t=8158
di yi 	第一	c=3 d=0.0686703 t=8158
di yi ci 	第一次	c=3 d=0.909977 t=8158
di yi ge 	第一个	c=2 d=0.0393668 t=8158
di yi gun 	第一滚	c=1 d=1.11761e-14 t=8158
di yi kao lv 	第一考虑	c=1 d=0.0287246 t=8158
di zhang zi 	嫡长子	c=2 d=6.6117e-08 t=8158
di zhong hai 	地中海	c=1 d=8.4206e-08 t=8158
di zhu 	地主	c=1 d=1.65383e-07 t=8158
dian 	店	c=1 d=0.00299743 t=8158
dian 	点	c=5 d=1.02549 t=8158
dian ci 	电磁	c=2 d=1.04768e-10 t=8158
dian ci bo 	电磁波	c=1 d=5.49279e-11 t=8158
dian huo 	点火	c=1 d=1.98512e-08 t=8158
dian nao 	电脑	c=2 d=0.0160829 t=8158
dian shi 	电视	c=1 d=0.0769192 t=8158
dian tai 	电台	c=1 d=0.00506703 t=8158
dian xia 	殿下	c=0 d=3.28932e-09 t=8158
dian yuan 	电源	c=3 d=1.07155 t=8158
